project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name
8uJO7UNZda7b68AlyerXGkdWZfPsS8_DcYNhtk4afbs=,OSS_DIRECTORY,oso,brightid,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
YWx14a4ELnaE2V58GdSLn7sVQxwvFBrP7GTQuXsCUd4=,OSS_DIRECTORY,oso,clrfund,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,OSS_DIRECTORY,oso,dao-drops-dorgtech,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,OSS_DIRECTORY,oso,drips-network,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,OSS_DIRECTORY,oso,ethereum-cat-herders,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,OSS_DIRECTORY,oso,ethstaker,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,OSS_DIRECTORY,oso,gitcoin,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,OSS_DIRECTORY,oso,givepraise,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,OSS_DIRECTORY,oso,giveth,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,OSS_DIRECTORY,oso,glo-foundation,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
VhDGUKAWcJC-2T2YV_HNWy77Ptk64L5sewm6byGKR8A=,OSS_DIRECTORY,oso,hausdao,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,OSS_DIRECTORY,oso,hypercerts,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
RS5lOoCIf38rkKBpmpOurIyJA85KNvQSFbxdvzij80k=,OSS_DIRECTORY,oso,kernel-community,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,OSS_DIRECTORY,oso,metagame-metafam,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
RVOuV0FCXB_YUCOIr_cb18IKzJwy_4K5-Ge-Ns4EYnw=,OSS_DIRECTORY,oso,onion-dao,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
cNWIkYYNllGaAe7Xslebf1OTgqitVGPpSfz5pD2B8lY=,OSS_DIRECTORY,oso,pairwise-general-magic,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
UNKoHLpnT_OziRiPCuX21uhgLNIJygsxuZz3A0TL-cg=,OSS_DIRECTORY,oso,protocol-guild,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,OSS_DIRECTORY,oso,rotki,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
4IF5N43rh3j9S83bUBcfoWy_2I4qcP8UulcrMsuJX-o=,OSS_DIRECTORY,oso,tor-project,MKH2JljRp_4M8SZNnli0LLPFtD8nQEgHL8JJet-e7dY=,OSS_DIRECTORY,oso,octant-01
8uJO7UNZda7b68AlyerXGkdWZfPsS8_DcYNhtk4afbs=,OSS_DIRECTORY,oso,brightid,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
YWx14a4ELnaE2V58GdSLn7sVQxwvFBrP7GTQuXsCUd4=,OSS_DIRECTORY,oso,clrfund,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
rqZBGkL_I2YdMzn6AsloysnvQd1P_szbw9ruZc2arQw=,OSS_DIRECTORY,oso,commonsbuild,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,OSS_DIRECTORY,oso,dao-drops-dorgtech,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,OSS_DIRECTORY,oso,drips-network,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,OSS_DIRECTORY,oso,ethereum-cat-herders,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,OSS_DIRECTORY,oso,ethstaker,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
qrlafNIdzAmcq2z0PxvBFisxIJ29C9Cbpdvc_DEpmcU=,OSS_DIRECTORY,oso,fundingthecommons,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,OSS_DIRECTORY,oso,gitcoin,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,OSS_DIRECTORY,oso,givepraise,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,OSS_DIRECTORY,oso,giveth,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,OSS_DIRECTORY,oso,glo-foundation,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
VhDGUKAWcJC-2T2YV_HNWy77Ptk64L5sewm6byGKR8A=,OSS_DIRECTORY,oso,hausdao,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,OSS_DIRECTORY,oso,hypercerts,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
RS5lOoCIf38rkKBpmpOurIyJA85KNvQSFbxdvzij80k=,OSS_DIRECTORY,oso,kernel-community,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,OSS_DIRECTORY,oso,l2beat,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,OSS_DIRECTORY,oso,metagame-metafam,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,OSS_DIRECTORY,oso,opensource-observer,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
cNWIkYYNllGaAe7Xslebf1OTgqitVGPpSfz5pD2B8lY=,OSS_DIRECTORY,oso,pairwise-general-magic,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
UNKoHLpnT_OziRiPCuX21uhgLNIJygsxuZz3A0TL-cg=,OSS_DIRECTORY,oso,protocol-guild,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
zMr9ziUIls0NIAm5eLswVdNAjL-X9j4o2RcEQmrLf4c=,OSS_DIRECTORY,oso,revoke-cash,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,OSS_DIRECTORY,oso,rotki,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
FqJlC8IuZE2E3eTvQdMA4uG39qNxQSPSgw79bRli5Hs=,OSS_DIRECTORY,oso,shutter-network,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
4IF5N43rh3j9S83bUBcfoWy_2I4qcP8UulcrMsuJX-o=,OSS_DIRECTORY,oso,tor-project,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,OSS_DIRECTORY,oso,octant-02
bQiTKGQ-syTnuXT5qWWin_CyzvIy-etYkxpMzHGiHo4=,OSS_DIRECTORY,oso,0x-boring-security,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,OSS_DIRECTORY,oso,1hive,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,OSS_DIRECTORY,oso,dao-drops-dorgtech,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,OSS_DIRECTORY,oso,drips-network,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
_n9FHvFlG0nkjzzws25GuLhG6dj3bgWwiuxPwy5M4Hw=,OSS_DIRECTORY,oso,etheralpha,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,OSS_DIRECTORY,oso,ethereum-attestation-service,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,OSS_DIRECTORY,oso,ethereum-cat-herders,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,OSS_DIRECTORY,oso,ethstaker,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
qrlafNIdzAmcq2z0PxvBFisxIJ29C9Cbpdvc_DEpmcU=,OSS_DIRECTORY,oso,fundingthecommons,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,OSS_DIRECTORY,oso,gitcoin,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,OSS_DIRECTORY,oso,givepraise,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,OSS_DIRECTORY,oso,giveth,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,OSS_DIRECTORY,oso,glo-foundation,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
YVD9NruuwKCsQX_FPmSMN8A6m2F53PxYxW14W1eVFLU=,OSS_DIRECTORY,oso,growthepie,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,OSS_DIRECTORY,oso,hypercerts,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,OSS_DIRECTORY,oso,l2beat,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,OSS_DIRECTORY,oso,metagame-metafam,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,OSS_DIRECTORY,oso,metagov,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
fY-OQ-do-d63891xc7h50Ql9xYWksuN5cQiMyrm9VxM=,OSS_DIRECTORY,oso,nicenode,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,OSS_DIRECTORY,oso,opensource-observer,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
cNWIkYYNllGaAe7Xslebf1OTgqitVGPpSfz5pD2B8lY=,OSS_DIRECTORY,oso,pairwise-general-magic,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,OSS_DIRECTORY,oso,octant-03
